Label,Publications,CoAuthors
ABBOTT HARVEY LESLIE,1,7
ACZEL JANOS D.,1,2
AGOH TAKASHI,1,1
AHARONI RON,1,11
AIGNER MARTIN S.,1,5
AJTAI MIKLOS,1,9
ALAOGLU LEONIDAS*,2,1
ALAVI YOUSEF*,8,13
ALLADI KRISHNASWAMI,5,3
ALON NOGA M.,5,53
ANDERSON JAMES MILNE,1,8
ANDRASFAI BELA,1,1
ANKENY NESMITH CORNETT*,1,2
ANNING NORMAN H.*,1,1
ARKIN JOSEPH*,1,5
ARNEY DAVID CHRISTOPHER,1,2
ARONOV BORIS,1,7
ASH J. MARSHALL,1,4
ASHBACHER CHARLES D.,1,1
AVIS DAVID MICHAEL,2,3
BABAI LASZLO,3,26
BABU GUTTI JOGESH,3,1
BAGEMIHL FREDERICK*,4,3
BALOG ANTAL,1,8
BANKOFF LEON*,1,1
BARAK AMNON B.,1,1
BATEMAN PAUL TREVIER*,5,9
BAUMGARTNER JAMES EARL*,2,8
BEASLEY LEROY B.,1,5
BECK ISTVAN,1,2
BEHZAD MEHDI^,1,5
BEJLEGAARD NIELS*,1,2
BENKOSKI STANLEY J.,1,1
BERGELSON VITALY,1,7
BERGER MARC ARON,1,3
BERTRAM EDWARD ARTHUR,1,5
BIALOSTOCKI ARIE,1,4
BLASS ANDREAS RAPHAEL,1,6
BLECKSMITH RICHARD FRED,1,2
BLEICHER MICHAEL NATHANIEL,3,1
BOALS ALFRED JOHN,2,3
BOAS RALPH PHILIP JR.*,1,6
BOES DUANE CHARLES,1,1
BOLLOBAS BELA,18,43
BONAR DANIEL DONALD,1,2
BONDY JOHN ADRIAN,2,10
BONNET ROBERT,1,1
BOROSH ITSHAK,1,3
BOSAK JURAJ*,1,2
BOVEY JOHN D.,1,2
BRENNER JOEL LEE*,1,6
BRILLHART JOHN DAVID,1,6
BRINDZA BELA*,1,3
BROWN THOMAS CRAIG,2,5
BROWN WILLIAM G.,6,6
BUCK ROBERT CREIGHTON*,1,2
BUKOR JOZEF,1,2
BURR STEFAN ANDRUS,27,19
BUSOLINI DONALD TERENCE,1,1
CACCETTA LOUIS,4,3
CALKIN NEIL JAMES,2,5
CAMERON PETER J.,2,14
CANFIELD EARL RODNEY,1,9
CARROLL FRANCIS WILLIAM,1,2
CATER FRANK SYDNEY,1,1
CATES MARSHALL L.,1,2
CATLIN PAUL ALLEN*,1,3
CHALK JOHN H. H.*,1,1
CHARTRAND GARY THEODORE,5,25
CHEN CHUAN CHONG,1,4
CHEN GUANTAO,5,13
CHEN HANG,1,3
CHEN ROBERT W.,1,2
CHINN PHYLLIS ZWEIG,1,4
CHOI SHIU LUN GODFREY,3,3
CHOWLA SARVADAMAN D. S.*,3,8
CHUI CHARLES KAM-TAI,1,2
CHUNG FAN RONG KING (GRAHAM),14,31
CHUNG KAI-LAI*,4,6
CHVATAL VACLAV (VASEK),3,20
CLARK BRENT N.,1,1
CLARK LANE HENRY,1,9
CLARKSON JAMES ANDREW*,1,1
CLUNIE JAMES GOURLAY*,1,4
COHEN STEPHEN DOUGLAS,1,1
COLBOURN CHARLES JOSEPH,1,14
CONWAY JOHN HORTON,1,4
COPELAND ARTHUR HERBERT SR.*,1,1
CROFT HALLARD T.,1,3
CSAKI ENDRE,1,4
CSISZAR IMRE,1,2
CZIPSZER JANOS*,1,3
DARLING DONALD ALLAN,2,1
DARST RICHARD BRIAN,1,2
DAVENPORT HAROLD*,7,6
DAVIES ROY OSBORNE,1,4
DAYKIN DAVID E.*,2,8
DE BRUIJN NICOLAAS GOVERT*,6,2
DE CAEN DOMINIQUE*,1,8
DE KONINCK JEAN-MARIE,1,6
DEBOSE YOLANDA (COLUMBUS),1,1
DEHEUVELS PAUL RENE LOUIS,1,2
DELEGLISE MARC,1,1
DENES JOZSEF*,1,2
DESHOUILLERS JEAN-MARC,2,11
DEUBER WALTER A.*,1,11
DEZA MICHEL-MARIE,4,6
DIACONIS PERSI W.,1,3
DIAMOND HAROLD GEORGE,3,5
DIRAC GABRIEL ANDREW*,1,2
DIXMIER JACQUES,1,1
DOWKER YAEL NAIM,1,1
DRAKE DAVID ALLYN,1,4
DUDLEY UNDERWOOD,1,1
DUKE RICHARD ALTER*,8,8
DVORETZKY ARYEH*,8,4
ECKLUND EARL FRANK JR.,2,2
EDREI ALBERT*,1,3
EGGLETON ROGER BENJAMIN,7,7
EL-ZAHAR MOHAMED H.,1,1
ELEKES GYORGY*,2,5
ELLIOTT PETER D. T. A.,3,2
ENTRINGER ROGER CHARLES,3,15
ERNE MARCEL,1,1
EVANS ANTHONY B.,2,1
FABER VANCE,3,6
FAJTLOWICZ SIEMION,5,6
FAUDREE RALPH JASPER JR.*,50,30
FEJES TOTH LASZLO*,1,3
FELDHEIM ERVIN*,1,1
FELLER WILLI K. (WILLIAM)*,1,2
FELZENBAUM ALEXANDER GERSH,1,4
FEW LEONARD,1,1
FISHBURN PETER C.,9,11
FODOR GEZA*,3,2
FON-DER-FLAASS DMITRII GERMANOVICH*,1,6
FOWLER JOEL CHRISTOPHER,2,4
FOWLER THOMAS GEORGE,1,1
FRAENKEL AVIEZRI SIEGMUND,1,12
FRANKL PETER,6,23
FREEDMAN ALLEN ROY,1,1
FREIMAN GREGORY A.,1,6
FREUD GEZA*,1,6
FREUD ROBERT,4,2
FRIED ERVIN*,1,5
FRIED HANS*,1,1
FUCHS WOLFGANG HEINRICH JOHANNES*,1,6
FUREDI ZOLTAN,10,40
GAAL STEVEN A. (GAL ISTVAN SANDOR),3,1
GALAMBOS JANOS,1,5
GALLAI TIBOR* (GRUNWALD TIBOR),9,2
GALVIN FREDERICK WILLIAM,6,9
GERENCSER LASZLO,1,2
GILLIS JOSEPH E.*,1,2
GILLMAN LEONARD*,1,2
GIMBEL JOHN GORDON,4,7
GINZBURG ABRAHAM,2,1
GODDARD WAYNE DEAN,1,20
GODSIL CHRISTOPHER DAVID,1,7
GOLDBERG MARK K.,1,3
GOLOMB MICHAEL*,1,1
GOODMAN ADOLPH W.*,1,1
GORDON BASIL*,1,5
GOULD RONALD J.,4,18
GRAHAM RONALD LEWIS,28,44
GRAHAM SIDNEY WEST,1,4
GRANVILLE ANDREW JAMES,2,16
GRIESER DANIEL,1,1
GRILL KARL,1,3
GRUBER PETER MANFRED,1,1
GRUNBAUM BRANKO,2,3
GRUNWALD GEZA*,3,1
GUNDERSON DAVID SHANE,3,11
GUPTA HANSRAJ*,1,2
GUY MICHAEL J. T.,1,3
GUY RICHARD KENNETH,4,11
GYARFAS ANDRAS,15,34
GYORI ERVIN,2,13
GYORY KALMAN,1,9
HAJNAL ANDRAS,56,30
HALASZ GABOR^,1,2
HALL RICHARD ROXBY,14,2
HAMBURGER PETER,1,7
HAMMER JOSEPH,1,1
HANANI HAIM*,2,5
HANSON DENIS,1,4
HARARY FRANK*,2,42
HARCOS GERGELY,1,2
HARDY GEORGE EUGENE*,1,1
HARE WILLIAM RAY JR.,1,2
HARNER CHARLES C.,1,1
HARTMAN STANISLAW*,1,2
HARTTER ERICH,1,1
HARZHEIM EGBERT*,1,1
HATTINGH JOHANNES HENDRIK,1,6
HECHLER STEPHEN HERMAN,2,2
HEDETNIEMI STEPHEN TRAVIS,2,13
HEDRLIN ZDENEK,1,2
HEGYVARI NORBERT,3,5
HEILBRONN HANS ARNOLD*,1,2
HELL PAVOL,1,13
HEMMINGER ROBERT LOUIS,1,3
HENNING MICHAEL ANTHONY,1,10
HENRIKSEN MELVIN*,1,1
HERZOG FRITZ*,6,1
HERZOG MARCEL,1,3
HICKERSON DEAN ROBERT,2,3
HIGGS DENIS ARTHUR*,1,1
HILDEBRAND ADOLF J.,1,8
HINDMAN NEIL B.,3,8
HOBBS ARTHUR M.,4,6
HOFFMAN ALAN JEROME,1,5
HOGGATT VERNER EMIL JR.*,1,5
HOLTON DEREK ALLAN,1,7
HOLZMAN RON,2,10
HORAK PETER,1,7
HORVATH MIKLOS,1,2
HOWORKA EDWARD R.,1,1
HSU DERBIAU FRANK,1,4
HUNT GILBERT AGNEW*,1,1
HWANG JUN SHUNG*,2,2
INDLEKOFER KARL-HEINZ,1,2
INGHAM ALBERT EDWARD*,1,1
IVIC ALEKSANDAR,8,5
JABOTINSKY ERI*,3,1
JACKSON STEPHEN CRAIG,2,1
JACOBSON MICHAEL SCOTT,3,19
JAGOTA ARUN KUMAR,1,4
JANSON SVANTE,1,9
JARNIK VOJTECH*,1,1
JIN GUO PING,2,3
JONES FRED B.,2,1
JOO ISTVAN*,12,7
JOO MIKLOS,1,1
KAC MARK*,5,7
KAINEN PAUL CHESTER,1,3
KAKUTANI SHIZUO*,7,3
KAPLANSKY IRVING*,2,2
KARAMATA JOVAN*,1,1
KATAI IMRE,7,5
KELLY PAUL JOSEPH*,2,1
KENNEDY JOHN W.,1,3
KESTELMAN HYMAN*,1,1
KHARE SATGUR PRASAD,1,1
KIERSTEAD HENRY A.^,1,12
KISS PETER*,2,4
KLAMKIN MURRAY SEYMOUR*,2,8
KLAWE MARIA MARGARET,1,4
KLEITMAN DANIEL J.,7,29
KLUGERMAN MICHAEL RICHARD,1,5
KNAPPENBERGER JONATHAN CHARLES,1,1
KO CHAO (KE ZHAO)*,4,1
KOCZY LASZLO A.,1,1
KOHAYAKAWA YOSHIHARU,1,11
KOKSMA JURJEN FERDINAND^*,2,2
KOLESNIK GRIGORI ABRAMOVICH,1,3
KOMJATH PETER,2,15
KOMLOS JANOS,3,17
KOMORNIK VILMOS,4,2
KOREN ISRAEL,1,3
KOSTOCHKA ALEXANDR V.,2,25
KOVARI TAMAS*,1,3
KRANTZ STEVEN GEORGE,1,2
KRATSCH DIETER,1,4
KRIVELEVICH MICHAEL,1,8
KROO ANDRAS V.,1,2
KUBICKA EWA MARIA,1,10
KUBICKI GRZEGORZ,1,11
KUNEN KENNETH,1,3
LACAMPAGNE CAROLE B.,3,4
LAM PETER CHE BOR,1,4
LARSON JEAN ANN,5,9
LASKAR RENU CHAKRAVARTI,4,7
LEFMANN HANNO,1,11
LEHEL JENO,2,21
LEHNER JOSEPH*,1,1
LENGYEL BELA A.*,1,1
LEV VSEVOLOD F.,1,7
LEVEQUE WILLIAM JUDSON*,1,1
LEWIN MORDECHAI,1,1
LI WEN-CHING WINNIE,1,4
LICK DON RAYMOND,2,8
LINIAL NATHAN,2,13
LIU JIUQIANG,2,6
LOEBL MARTIN,1,5
LORENTZ GEORGE GUNTHER*,1,1
LOVASZ LASZLO,7,29
LOXTON JOHN HAROLD,1,1
LUCA FLORIAN,1,6
LUCZAK TOMASZ,7,27
MACINTYRE ARCHIBALD JAMES*,1,1
MAGIDOR MENACHEM,1,3
MAHLER KURT*,2,2
MAIER HELMUT,1,7
MAKAI ENDRE JR.,3,4
MAKKAI MIHALY MICHAEL,1,1
MALDE PARESH J.,2,4
MALOUF JANICE L.,1,2
MARCUS SOLOMON,1,1
MATE ATTILA,3,7
MAUDUIT CHRISTIAN,2,5
MAULDIN RICHARD DANIEL,5,6
MAXSEIN THOMAS*,1,1
MAYS MICHAEL ELLSWORTH,1,1
MCCANNA JOSEPH E.,1,8
MCELIECE ROBERT JAMES,1,4
MCKAY BRENDAN DAMIEN,1,16
MEIR AMRAM,5,13
MELFI GIUSEPPE,1,1
MEYER ANJA GABRIELE,1,3
MILLS GEORGE HARLOW,1,1
MILNER ERIC CHARLES*,15,14
MINC HENRYK*,1,1
MIRSKY LEONID*,1,1
MOLLOY MICHAEL SEAN O'BRIEN,1,4
MONTGOMERY HUGH LOWELL,1,8
MONTGOMERY PETER LAWRENCE,3,6
MOON JOHN W.,4,12
MORAN SHLOMO,2,6
MORTON RICHARD PATRICK,1,2
MOSER LEO*,3,4
